2021-01-09 10:19:14.338 INFO  [DISCORD] Bot connected 
2021-01-09 10:19:14.674 INFO  [BOT] 0: null 
2021-01-09 10:19:14.851 INFO  [BOT] 0: null 
2021-01-09 10:19:14.969 INFO  [BOT] 0: READY 
2021-01-09 10:19:15.491 INFO  [BOT] 0: GUILD_CREATE 
2021-01-09 10:19:15.497 INFO  [DISCORD] 'ready' event is triggered 
2021-01-09 10:19:25.309 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-01-09 10:19:42.889 INFO  [BOT] 0: MESSAGE_CREATE 
2021-01-09 10:19:44.855 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-01-09 10:19:56.154 INFO  [BOT] 0: null 
2021-01-09 10:20:37.347 INFO  [BOT] 0: null 
2021-01-09 10:20:49.478 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-01-09 10:21:18.465 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-01-09 10:21:18.607 INFO  [BOT] 0: null 
2021-01-09 10:21:30.185 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-01-09 10:21:43.928 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-01-09 10:21:59.859 INFO  [BOT] 0: null 
2021-01-09 10:22:14.609 INFO  [BOT] 0: CHANNEL_UPDATE 
2021-01-09 10:22:14.691 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-01-09 10:22:14.966 INFO  [BOT] 0: MESSAGE_CREATE 
2021-01-09 10:22:15.051 INFO  [BOT] 0: MESSAGE_UPDATE 
2021-01-09 10:22:41.179 INFO  [BOT] 0: null 
2021-01-09 10:23:22.361 INFO  [BOT] 0: null 
2021-01-09 10:23:52.162 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-01-09 10:23:52.472 INFO  [BOT] 0: TYPING_START 
2021-01-09 10:24:00.421 INFO  [BOT] 0: TYPING_START 
2021-01-09 10:24:03.634 INFO  [BOT] 0: null 
2021-01-09 10:24:08.465 INFO  [BOT] 0: TYPING_START 
2021-01-09 10:24:22.060 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-01-09 10:24:22.616 INFO  [BOT] 0: PRESENCE_UPDATE 
2021-01-09 10:24:22.617 INFO  [BOT] 0: TYPING_START 
2021-01-09 10:24:27.958 INFO  [BOT] 0: MESSAGE_CREATE 
2021-01-09 10:24:34.285 INFO  [BOT] 0: TYPING_START 
2021-01-09 10:24:37.790 INFO  [BOT] 0: MESSAGE_CREATE 
2021-01-09 10:24:44.953 INFO  [BOT] 0: null 
